userPrincipalName,displayName,surname,mail,givenName,id,userType,jobTitle,department,accountEnabled,usageLocation,streetAddress,state,country,officeLocation,city,postalCode,telephoneNumber,mobilePhone,alternateEmailAddress,ageGroup,consentProvidedForMinor,legalAgeGroupClassification,companyName,creationType,directorySynced,invitationState,lastSignInDate,identityIssuer
Onink1968@msredteam.onmicrosoft.com,Anderson  Robert,Anderson,,Robert,6b247894-918a-472a-897d-7847da4fede3,Member,Caregiver,,True,,1083 Perine Street,,,,Washington,,703-831-6663,,,,,,,,True,,,msredteam.onmicrosoft.com
Jecrer@msredteam.onmicrosoft.com,Anglin  Letitia,Anglin,,Letitia,12e4db15-b840-40c4-af4a-d7c112afcf8f,Member,Photographic processing machine operator,,True,,3986 Fantages Way,,,,Dark Harbor,,207-734-6640,,,,,,,,True,,,msredteam.onmicrosoft.com
Thomenjobts@msredteam.onmicrosoft.com,Appleton  Karen,Appleton,,Karen,aacbf90d-8da0-458c-8a94-a366379dd530,Member,Veterinary technician,,True,,687 Simpson Square,,,,Oklahoma City,,580-555-6990,,,,,,,,True,,,msredteam.onmicrosoft.com
Agens1997@msredteam.onmicrosoft.com,Arana  Lela,Arana,,Lela,06f9cb24-961b-4144-9be3-a8c4ca21fc5c,Member,Substance abuse social worker,,True,,4779 Meadow Drive,,,,Great Falls,,406-216-4015,,,,,,,,True,,,msredteam.onmicrosoft.com
Keirock@msredteam.onmicrosoft.com,Bagley  Elinor,Bagley,,Elinor,7a44b761-c965-4ccd-8c0d-c847b13459f6,Member,Recruitment manager,,True,,3034 Beechwood Avenue,,,,Plainfield,,908-753-7504,,,,,,,,True,,,msredteam.onmicrosoft.com
Entile@msredteam.onmicrosoft.com,Bailey  Vera,Bailey,,Vera,e5716bcb-fa35-4b69-ab85-ba4f9149b008,Member,Card puncher,,True,,4917 Valley Street,,,,Pennsauken,,856-834-9939,,,,,,,,True,,,msredteam.onmicrosoft.com
Gnalluggive@msredteam.onmicrosoft.com,Baker  Monte,Baker,,Monte,6ed8b37c-12b4-4357-aaa2-4ba6ddb160e5,Member,Corporate office services manager,,True,,2874 Timberbrook Lane,,,,Mesa,,970-268-3261,,,,,,,,True,,,msredteam.onmicrosoft.com
Suff1939@msredteam.onmicrosoft.com,Baldwin  Yolanda,Baldwin,,Yolanda,dcdf714c-93cc-40a6-84f1-e10321cd4d21,Member,Survey researcher,,True,,3309 Wood Street,,,,Saginaw,,989-216-0152,,,,,,,,True,,,msredteam.onmicrosoft.com
Sught1959@msredteam.onmicrosoft.com,Banks  Ginger,Banks,,Ginger,f99accaf-8e5e-408c-8390-7303df00990e,Member,Business office assistant,,True,,3213 Godfrey Road,,,,New York,,212-582-4078,,,,,,,,True,,,msredteam.onmicrosoft.com
Fairstionly@msredteam.onmicrosoft.com,Barbara  Linda,Barbara,,Linda,d0973aee-9e2b-4ca3-9ca7-62a0ab0f74d3,Member,Stratigrapher,,True,,140 Perine Street,,,,Mclean,,703-747-6958,,,,,,,,True,,,msredteam.onmicrosoft.com
Porewhis1982@msredteam.onmicrosoft.com,Barone  James,Barone,,James,39a64350-4889-4246-b18a-7298f8143963,Member,Textile knitting and weaving machine operator,,True,,2218 Pinnickinick Street,,,,Olympia,,360-725-8427,,,,,,,,True,,,msredteam.onmicrosoft.com
Winiter56@msredteam.onmicrosoft.com,Baty  Marty,Baty,,Marty,fd135868-d116-45c0-ae71-355a82b1fc82,Member,Restaurant chef,,True,,2426 Elk Creek Road,,,,Marietta,,770-514-7650,,,,,,,,True,,,msredteam.onmicrosoft.com
Scrutunarace64@msredteam.onmicrosoft.com,Bearden  Israel,Bearden,,Israel,925202a6-a35e-444c-a492-cfcffcf4674b,Member,Textile presser,,True,,2750 Anmoore Road,,,,Brooklyn,,718-783-4845,,,,,,,,True,,,msredteam.onmicrosoft.com
Erybousbaby@msredteam.onmicrosoft.com,Bell  Thomas,Bell,,Thomas,3b621271-68e5-41b3-9e76-54835b50f2e5,Member,Brace maker,,True,,2935 Kelley Road,,,,Gulfport,,228-342-2668,,,,,,,,True,,,msredteam.onmicrosoft.com
Mantell@msredteam.onmicrosoft.com,Bennett  Helen,Bennett,,Helen,4bf766f0-69fc-4a73-a639-ccd1f8b8aae9,Member,"Molding, coremaking, and casting machine tender",,True,,1858 Webster Street,,,,Metuchen,,732-548-0890,,,,,,,,True,,,msredteam.onmicrosoft.com
Tione1948@msredteam.onmicrosoft.com,Bequette  Wayne,Bequette,,Wayne,05c56c06-faaa-4ba8-9b46-7829dc5cedaf,Member,Payroll analyst,,True,,934 Sunny Glen Lane,,,,Cleveland,,216-736-8468,,,,,,,,True,,,msredteam.onmicrosoft.com
Butrarstabor@msredteam.onmicrosoft.com,Berg  Ruben,Berg,,Ruben,b3b59956-f381-4194-832d-3154b3d4ca77,Member,Recreational vehicle service technician,,True,,4291 Seltice Way,,,,Twin Falls,,208-731-8999,,,,,,,,True,,,msredteam.onmicrosoft.com
Moused@msredteam.onmicrosoft.com,Bertsch  Lucille,Bertsch,,Lucille,2c311edc-f556-4763-bdbe-4bcc2a20a471,Member,Construction mechanic,,True,,288 Beech Street,,,,Oakland,,925-871-5273,,,,,,,,True,,,msredteam.onmicrosoft.com
Founinge@msredteam.onmicrosoft.com,Blandon  Erin,Blandon,,Erin,5008c0e6-a21a-4f64-8d68-8e0dc622efdf,Member,Marine biologist,,True,,2020 Burke Street,,,,Boston,,781-302-4987,,,,,,,,True,,,msredteam.onmicrosoft.com
Africured1959@msredteam.onmicrosoft.com,Blume  Mariam,Blume,,Mariam,d09ca00b-1545-4ed0-a20d-104cc1075b25,Member,Structural metal fabricator,,True,,1116 Scott Street,,,,New York,,845-530-5319,,,,,,,,True,,,msredteam.onmicrosoft.com
Hinface@msredteam.onmicrosoft.com,Bodkin  Chris,Bodkin,,Chris,087b789b-da6e-4935-9564-d86f8638991b,Member,Building consultant,,True,,4065 Eva Pearl Street,,,,Baton Rouge,,225-701-5795,,,,,,,,True,,,msredteam.onmicrosoft.com
Tionant@msredteam.onmicrosoft.com,Bostic  John,Bostic,,John,b336ba6a-3f7f-4265-94f6-d88ed35a318f,Member,Surgical technician,,True,,1597 Patterson Fork Road,,,,Chicago,,312-612-8986,,,,,,,,True,,,msredteam.onmicrosoft.com
Therfuriour@msredteam.onmicrosoft.com,Brace  Jacob,Brace,,Jacob,51313332-ca0d-4ea7-9228-65609d79ea3b,Member,Automation and control technician,,True,,308 Andell Road,,,,Worthington,,614-946-8494,,,,,,,,True,,,msredteam.onmicrosoft.com
Abouldis@msredteam.onmicrosoft.com,Branch  Judith,Branch,,Judith,769c7543-8638-4e0e-a0a3-c1c25ab6590b,Member,Audiologist,,True,,435 Holden Street,,,,San Diego,,619-280-0058,,,,,,,,True,,,msredteam.onmicrosoft.com
Rismustriog@msredteam.onmicrosoft.com,Brito  Grace,Brito,,Grace,2231b28b-5ead-45fc-9b7d-241ee0d7de91,Member,"Molding, coremaking, and casting machine operator",,True,,2558 Kennedy Court,,,,Westborough,,774-276-6886,,,,,,,,True,,,msredteam.onmicrosoft.com
Meaver@msredteam.onmicrosoft.com,Britt  Anna,Britt,,Anna,59a3324d-8c96-4da6-8d63-030c726f9fad,Member,"Furnace, kiln, oven, drier, and kettle tender",,True,,844 Rose Street,,,,Chicago,,708-249-9626,,,,,,,,True,,,msredteam.onmicrosoft.com
Thappect@msredteam.onmicrosoft.com,Brody  Kathi,Brody,,Kathi,72b060a6-7e92-46b1-a1ed-789acb814926,Member,Correctional treatment specialist,,True,,3464 Stoney Lane,,,,Richardson,,972-952-6999,,,,,,,,True,,,msredteam.onmicrosoft.com
Dichatithat@msredteam.onmicrosoft.com,Bronstein  David,Bronstein,,David,e1599868-93d6-447f-8757-e2cd35ca4ae8,Member,"Cutting, punching, and press machine setter",,True,,1567 Maxwell Street,,,,Hartford,,860-815-1378,,,,,,,,True,,,msredteam.onmicrosoft.com
Aultagrags33@msredteam.onmicrosoft.com,Brown  Kimberly,Brown,,Kimberly,c7ccdd53-4942-4546-aae2-a1c9e6d4167a,Member,Molder,,True,,4411 Nixon Avenue,,,,Johnson City,,423-212-1138,,,,,,,,True,,,msredteam.onmicrosoft.com
Maland1964@msredteam.onmicrosoft.com,Brown  Philip,Brown,,Philip,6d5fb5fc-d858-4b28-a29d-78874d9a8cb3,Member,Compositor,,True,,1640 Oakridge Farm Lane,,,,Milwaukee,,262-395-3631,,,,,,,,True,,,msredteam.onmicrosoft.com
Priback@msredteam.onmicrosoft.com,Buchanan  Carmen,Buchanan,,Carmen,5b09fa24-0a53-4c4f-92b9-42a6e24a726a,Member,Human services manager,,True,,2366 Pine Garden Lane,,,,Alpharetta,,770-667-1017,,,,,,,,True,,,msredteam.onmicrosoft.com
Hick1976@msredteam.onmicrosoft.com,Buckle  Frank,Buckle,,Frank,2392e2f6-14e6-4ea0-9d06-269c57ea8f9d,Member,Multiple machine tool operator,,True,,657 Hart Ridge Road,,,,Sheridan,,989-261-1341,,,,,,,,True,,,msredteam.onmicrosoft.com
Entwes@msredteam.onmicrosoft.com,Burke  Tom,Burke,,Tom,c181ae49-06d5-4f77-ae46-c0beaa77713a,Member,Religious activities and education director,,True,,4760 Martha Street,,,,Rough Rock,,928-728-0544,,,,,,,,True,,,msredteam.onmicrosoft.com
Whathim@msredteam.onmicrosoft.com,Burns  Rodney,Burns,,Rodney,4dc79005-cd89-4fa8-8557-1a2ced9eeb6a,Member,Packager,,True,,2692 Despard Street,,,,Atlanta,,404-676-3379,,,,,,,,True,,,msredteam.onmicrosoft.com
Creeidell@msredteam.onmicrosoft.com,Burns  Toni,Burns,,Toni,b92fb6fe-da49-4c89-adce-e5b0e66dd877,Member,Gaming change person,,True,,4464 Single Street,,,,Boston,,781-603-5782,,,,,,,,True,,,msredteam.onmicrosoft.com
Ruen1996@msredteam.onmicrosoft.com,Burse  James,Burse,,James,239af121-ded6-4883-abfc-a6f64eadce39,Member,Automated teller machine technician,,True,,1639 Horizon Circle,,,,Tacoma,,253-677-6564,,,,,,,,True,,,msredteam.onmicrosoft.com
Ingend1943@msredteam.onmicrosoft.com,Caine  Luke,Caine,,Luke,e2837b56-bd8d-4a8f-9aeb-ed2e1314dfeb,Member,Proofreader,,True,,975 Wines Lane,,,,Houston,,832-328-7956,,,,,,,,True,,,msredteam.onmicrosoft.com
Ahme1969@msredteam.onmicrosoft.com,Cameron  Jeffrey,Cameron,,Jeffrey,00d4080e-574c-488d-bed6-cb8dcd66e664,Member,Career counselor,,True,,2475 Jerry Toth Drive,,,,Nunapitchuk,,907-527-8086,,,,,,,,True,,,msredteam.onmicrosoft.com
Wereforaten1943@msredteam.onmicrosoft.com,Cannon  Timothy,Cannon,,Timothy,4e70fa18-1996-4ab6-8cb0-94ec6a323a28,Member,Optical goods worker,,True,,2961 Shinn Street,,,,New York,,212-763-2644,,,,,,,,True,,,msredteam.onmicrosoft.com
Tworames@msredteam.onmicrosoft.com,Capps  Donna,Capps,,Donna,4bb2ad5e-c155-497b-a29e-10b292d1232e,Member,Electrical power line repairer,,True,,3247 Green Street,,,,Franklin,,615-595-4624,,,,,,,,True,,,msredteam.onmicrosoft.com
Accar1971@msredteam.onmicrosoft.com,Cardwell  Marion,Cardwell,,Marion,6b0e7254-249b-4625-8f6e-9131c2c029e0,Member,Credit authorizer,,True,,2825 Boggess Street,,,,Fort Worth,,940-206-1405,,,,,,,,True,,,msredteam.onmicrosoft.com
Pered1996@msredteam.onmicrosoft.com,Cargill  Wally,Cargill,,Wally,31043271-9c30-4008-b430-b2591b5dea0d,Member,Vegetable cook,,True,,1376 Pike Street,,,,San Diego,,858-487-8658,,,,,,,,True,,,msredteam.onmicrosoft.com
Bied1966@msredteam.onmicrosoft.com,Carlisle  Jimmy,Carlisle,,Jimmy,6c67127e-a2b0-4fee-90c5-68c449748165,Member,Aircraft pilot,,True,,1036 Collins Street,,,,Tampa,,813-833-1148,,,,,,,,True,,,msredteam.onmicrosoft.com
Witheoper@msredteam.onmicrosoft.com,Carr  Joel,Carr,,Joel,27f94528-43de-47e5-adee-16b899ca6bfe,Member,Bindery worker,,True,,4551 Jail Drive,,,,Pacific Palisades,,310-230-6967,,,,,,,,True,,,msredteam.onmicrosoft.com
Libing@msredteam.onmicrosoft.com,Carter  Vickie,Carter,,Vickie,f1b05e13-3538-49af-bdc2-2dba3c0a2341,Member,Earth driller,,True,,1078 Cambridge Court,,,,Fayetteville,,479-879-4366,,,,,,,,True,,,msredteam.onmicrosoft.com
Shearompal1995@msredteam.onmicrosoft.com,Chase  Richard,Chase,,Richard,1a2efb0c-c1c0-44bf-82cf-037df34ca464,Member,Realtor,,True,,4647 Lowndes Hill Park Road,,,,Bakersfield,,661-378-8092,,,,,,,,True,,,msredteam.onmicrosoft.com
Thister@msredteam.onmicrosoft.com,Chavez  Rose,Chavez,,Rose,ccede723-a240-4345-b8a2-3bdee1c83058,Member,Surgical technician,,True,,861 Swick Hill Street,,,,Charlotte,,980-329-6157,,,,,,,,True,,,msredteam.onmicrosoft.com
Bettly@msredteam.onmicrosoft.com,Cheever  Travis,Cheever,,Travis,2bcc0e3e-64eb-4360-9519-111c93f681d4,Member,Administrative specialist,,True,,4274 Johnny Lane,,,,Milwaukee,,414-272-3812,,,,,,,,True,,,msredteam.onmicrosoft.com
Aboy1973@msredteam.onmicrosoft.com,Chism  Bernice,Chism,,Bernice,ad57086e-4546-404c-948b-7944a1f45194,Member,Graduate teaching assistant,,True,,3585 Nuzum Court,,,,Buffalo,,716-501-3912,,,,,,,,True,,,msredteam.onmicrosoft.com
Wrout1972@msredteam.onmicrosoft.com,Chism  Lloyd,Chism,,Lloyd,2dbf2a41-22d3-4a86-8f27-77b8edf0caea,Member,Human resources clerk,,True,,825 Philli Lane,,,,Haskell,,918-482-8008,,,,,,,,True,,,msredteam.onmicrosoft.com
Stlece@msredteam.onmicrosoft.com,Clark  Talisha,Clark,,Talisha,0dee3822-cfb2-443f-82ea-5115045c1d54,Member,Benefits administrator,,True,,3920 Prudence Street,,,,Detroit,,313-310-0814,,,,,,,,True,,,msredteam.onmicrosoft.com
Loyarround1985@msredteam.onmicrosoft.com,Cleary  James,Cleary,,James,d10fefe5-1ced-4f24-a215-444dd0023b15,Member,Real estate assessor,,True,,4082 Stiles Street,,,,Pittsburgh,,412-606-9503,,,,,,,,True,,,msredteam.onmicrosoft.com
Womilorge72@msredteam.onmicrosoft.com,Coates  Edward,Coates,,Edward,997279e5-317f-4868-b823-6142f5796df8,Member,Appraiser,,True,,2458 Jerry Toth Drive,,,,Togiak,,907-493-6097,,,,,,,,True,,,msredteam.onmicrosoft.com
Glikeels@msredteam.onmicrosoft.com,Coffey  Vanessa,Coffey,,Vanessa,6f7e3923-1787-4cc9-aafe-8d0b74a864f7,Member,Industrial production manager,,True,,413 Dovetail Drive,,,,Arlington Heights,,847-275-6559,,,,,,,,True,,,msredteam.onmicrosoft.com
Tray1979@msredteam.onmicrosoft.com,Coleman  Michael,Coleman,,Michael,bbf87015-cd34-487e-83fc-5838697f48c2,Member,Card puncher,,True,,4822 Beechwood Drive,,,,Baltimore,,410-972-5973,,,,,,,,True,,,msredteam.onmicrosoft.com
Crulton@msredteam.onmicrosoft.com,Coleman  Patrick,Coleman,,Patrick,a36470df-0b1f-4bb9-b54b-f4f4dbba3847,Member,Credentials specialist,,True,,1626 Fairfield Road,,,,Menomonee Falls,,262-703-0323,,,,,,,,True,,,msredteam.onmicrosoft.com
Buten1967@msredteam.onmicrosoft.com,Colwell  Charles,Colwell,,Charles,38d4934f-109d-4d5e-81b8-ae283ecb5ca6,Member,Job training specialist,,True,,1041 Charter Street,,,,Fontana,,913-849-7484,,,,,,,,True,,,msredteam.onmicrosoft.com
Itand1953@msredteam.onmicrosoft.com,Conway  Marlene,Conway,,Marlene,bd4872f4-fbb2-430b-8e38-a979e720a6a8,Member,Able seaman,,True,,1481 Gandy Street,,,,Saint Louis,,314-999-7553,,,,,,,,True,,,msredteam.onmicrosoft.com
Havall@msredteam.onmicrosoft.com,Cormier  Melvin,Cormier,,Melvin,8932b196-1c07-4a15-a29c-df91be8e0f8f,Member,Sales worker,,True,,527 Eastland Avenue,,,,Laurel,,601-422-7783,,,,,,,,True,,,msredteam.onmicrosoft.com
Oulthe@msredteam.onmicrosoft.com,Cornell  Jacqueline,Cornell,,Jacqueline,f1689276-f3e8-4706-bb2e-11b7ddb07a37,Member,Boat operator,,True,,4453 Peck Court,,,,Newport Beach,,949-467-7348,,,,,,,,True,,,msredteam.onmicrosoft.com
Amilers@msredteam.onmicrosoft.com,Cote  Janie,Cote,,Janie,f0f7a650-1da4-4dae-879f-0e04a0ce2de4,Member,Poultry farmer,,True,,3035 Friendship Lane,,,,Santa Clara,,408-696-2040,,,,,,,,True,,,msredteam.onmicrosoft.com
Guallf@msredteam.onmicrosoft.com,Crim  Michael,Crim,,Michael,192b66a9-a71f-4de2-8313-ae2772f90620,Member,Criminal investigator,,True,,3069 Simpson Square,,,,Lone Grove,,580-657-2407,,,,,,,,True,,,msredteam.onmicrosoft.com
Morguitainne@msredteam.onmicrosoft.com,Crouse  Michael,Crouse,,Michael,1cf615be-86ae-42e8-be83-a7f447985a19,Member,Community dietitian,,True,,4242 Jenna Lane,,,,Cincinnati,,513-985-3511,,,,,,,,True,,,msredteam.onmicrosoft.com
Warsted@msredteam.onmicrosoft.com,Crowder  John,Crowder,,John,69d2f4d0-2894-497c-a5a1-dc66b88b228b,Member,Judge,,True,,670 Alfred Drive,,,,Brooklyn,,718-230-1064,,,,,,,,True,,,msredteam.onmicrosoft.com
Poncelf59@msredteam.onmicrosoft.com,Crum  Tracey,Crum,,Tracey,2cfb94d3-f0d6-44b7-b306-a86f06aae2cb,Member,Medical scientist,,True,,585 Conifer Drive,,,,Seattle,,425-507-2857,,,,,,,,True,,,msredteam.onmicrosoft.com
Shars1945@msredteam.onmicrosoft.com,Crumley  Daniel,Crumley,,Daniel,8c0cea37-454f-4d7d-a988-d0af381bd99f,Member,Training specialist,,True,,4067 Oak Drive,,,,Schenectady,,518-631-4481,,,,,,,,True,,,msredteam.onmicrosoft.com
Troses@msredteam.onmicrosoft.com,Curtis  Judy,Curtis,,Judy,03b53356-15cc-4a38-aea4-5beb593dda39,Member,Radio and telecommunications equipment repairer,,True,,2956 Cody Ridge Road,,,,Drummond,,580-493-6541,,,,,,,,True,,,msredteam.onmicrosoft.com
Witich@msredteam.onmicrosoft.com,Dalton  Chris,Dalton,,Chris,7419aed3-a394-481f-9062-66191abfc91e,Member,Medical doctor,,True,,3574 Ella Street,,,,Fremont,,650-230-5776,,,,,,,,True,,,msredteam.onmicrosoft.com
Twongive@msredteam.onmicrosoft.com,Damron  Barbara,Damron,,Barbara,6f56384b-398b-4ad9-aa95-545664a34623,Member,Employee development manager,,True,,4794 Warner Street,,,,Miami,,305-938-6748,,,,,,,,True,,,msredteam.onmicrosoft.com
Salls1937@msredteam.onmicrosoft.com,Danley  Frank,Danley,,Frank,6b73014f-cc3e-45f9-b632-4ce0aeaaaad0,Member,Plant scientist,,True,,2868 Nash Street,,,,Detroit,,313-259-8474,,,,,,,,True,,,msredteam.onmicrosoft.com
Siteve@msredteam.onmicrosoft.com,Davenport  Richard,Davenport,,Richard,e43977f3-7b05-40e3-b037-6e8816da52bb,Member,U.S. Border Patrol agent,,True,,4473 Deer Ridge Drive,,,,Riverdale,,973-616-4395,,,,,,,,True,,,msredteam.onmicrosoft.com
Hitle1934@msredteam.onmicrosoft.com,Davies  Troy,Davies,,Troy,2f2b64bb-a767-4036-919b-e05aa7713a62,Member,Physicist,,True,,4509 Summit Park Avenue,,,,Southfield,,248-968-3620,,,,,,,,True,,,msredteam.onmicrosoft.com
Wheraill@msredteam.onmicrosoft.com,Delafuente  Barry,Delafuente,,Barry,9b87b15c-910e-4194-8c6d-a3d9bfd86fd2,Member,Promotions specialist,,True,,1522 Armory Road,,,,Fair Bluff,,910-649-5682,,,,,,,,True,,,msredteam.onmicrosoft.com
Quission@msredteam.onmicrosoft.com,Delgado  Christopher,Delgado,,Christopher,091817ef-a5df-4045-906d-06015189d15f,Member,Banquet manager,,True,,1684 Traders Alley,,,,Kansas City,,816-368-1398,,,,,,,,True,,,msredteam.onmicrosoft.com
Meated@msredteam.onmicrosoft.com,Deroche  Thomas,Deroche,,Thomas,9f10ee3a-3b04-4ef5-b066-f99707a3747c,Member,Electrical and electronics engineering technician,,True,,3710 Thrash Trail,,,,Texarkana,,903-614-2848,,,,,,,,True,,,msredteam.onmicrosoft.com
Menestor@msredteam.onmicrosoft.com,Diaz  Alberto,Diaz,,Alberto,e3fb2140-446b-464f-932d-1d924eeb990c,Member,"Cutting, punching, and press machine operator",,True,,2011 Lowes Alley,,,,Columbus,,740-314-1825,,,,,,,,True,,,msredteam.onmicrosoft.com
Alsorombicks81@msredteam.onmicrosoft.com,Dietrich  Carroll,Dietrich,,Carroll,e77d12ee-3ac1-42c0-a19c-08d1f1afb9ab,Member,Fund manager,,True,,3647 Maryland Avenue,,,,Polk City,,727-560-9582,,,,,,,,True,,,msredteam.onmicrosoft.com
Gotin1963@msredteam.onmicrosoft.com,Dillon  Gina,Dillon,,Gina,b76ef784-b6d0-4bba-8c87-5dc8a62b5449,Member,Airframe mechanic,,True,,3223 Scheuvront Drive,,,,Northglenn,,303-457-1813,,,,,,,,True,,,msredteam.onmicrosoft.com
Anonton@msredteam.onmicrosoft.com,Dodds  Wilbert,Dodds,,Wilbert,6cd224c0-1729-4ade-82e4-e8a137e02f52,Member,Lift truck operator,,True,,1800 Meadowcrest Lane,,,,Allen,,606-499-1669,,,,,,,,True,,,msredteam.onmicrosoft.com
Cleaskulty@msredteam.onmicrosoft.com,Downing  Sylvia,Downing,,Sylvia,e40524b0-0bcd-4991-8403-0dd756b62984,Member,Urban planner,,True,,1492 Warner Street,,,,Casper,,307-228-2345,,,,,,,,True,,,msredteam.onmicrosoft.com
Greentrion@msredteam.onmicrosoft.com,Downs  Leslie,Downs,,Leslie,8f77b1b9-20c9-4ac0-bc81-12e816729fce,Member,Emergency physician,,True,,3389 Adams Drive,,,,Houston,,979-316-8306,,,,,,,,True,,,msredteam.onmicrosoft.com
Therkilinde@msredteam.onmicrosoft.com,Duncan  Bruce,Duncan,,Bruce,a0515f8e-97af-4fe8-8235-d6a873aae4a8,Member,Audio control engineer,,True,,913 Denver Avenue,,,,Ontario,,951-515-9929,,,,,,,,True,,,msredteam.onmicrosoft.com
Hatqual@msredteam.onmicrosoft.com,Dunn  Rachel,Dunn,,Rachel,1b435bf5-00ae-4e46-a596-21f3dc73890b,Member,Personnel technician,,True,,496 Bond Street,,,,East Greenwich,,401-885-7806,,,,,,,,True,,,msredteam.onmicrosoft.com
Headvery@msredteam.onmicrosoft.com,Dunn  Virginia,Dunn,,Virginia,45f0a993-28b7-4bbe-9937-21f943065c20,Member,Gynecologic sonographer,,True,,713 Hillview Drive,,,,Atlanta,,706-890-7130,,,,,,,,True,,,msredteam.onmicrosoft.com
Pastachis@msredteam.onmicrosoft.com,Eason  Derrick,Eason,,Derrick,d87693f6-0e38-4da4-9206-7917af596372,Member,Health care translator,,True,,4118 Paradise Lane,,,,Chino Hills,,909-597-7786,,,,,,,,True,,,msredteam.onmicrosoft.com
Wittife1952@msredteam.onmicrosoft.com,Ebling  Jeanna,Ebling,,Jeanna,12c1f4f6-a653-4cc7-8192-7c5ff9658695,Member,Office assistant,,True,,1151 Rhapsody Street,,,,Gainesville,,352-399-4693,,,,,,,,True,,,msredteam.onmicrosoft.com
Anner1986@msredteam.onmicrosoft.com,Edwards  Antonio,Edwards,,Antonio,dbd29590-7b57-4a83-92db-39cd6a091c41,Member,Sheet metal worker,,True,,875 Ersel Street,,,,Plano,,214-401-6433,,,,,,,,True,,,msredteam.onmicrosoft.com
Criagand@msredteam.onmicrosoft.com,Elsass  Harold,Elsass,,Harold,6145dbf5-3864-4300-9ff2-72de1e95f657,Member,Usher,,True,,516 Devils Hill Road,,,,Florence,,601-845-3986,,,,,,,,True,,,msredteam.onmicrosoft.com
Reare1979@msredteam.onmicrosoft.com,Espinal  Mary,Espinal,,Mary,f61bb34f-c2fb-4788-9a6b-8e1f7b3b2c86,Member,News anchor,,True,,1953 Elkview Drive,,,,Miami,,772-380-8651,,,,,,,,True,,,msredteam.onmicrosoft.com
Wassiriour@msredteam.onmicrosoft.com,Evans  Elaine,Evans,,Elaine,18db0177-e994-46db-9719-70143f2ae66d,Member,Blood bank technologist,,True,,4476 Steele Street,,,,Bensenville,,630-696-8473,,,,,,,,True,,,msredteam.onmicrosoft.com
